share_excavator,share_wheel_loader,share_backhoe_loader,share_telehandler,share_compactor,arrivals_excavator,arrivals_wheel_loader,arrivals_backhoe_loader,arrivals_telehandler,arrivals_compactor,machines_on_site,starts_this_week,site_age_weeks,mean_engine_hours,mean_idle_hours,utilisation,distinct_operators,site_id,week_start,phase,phase_order,window_id,weeks_elapsed_in_phase,is_complete,start_censored,phase_total_weeks,weeks_remaining,mix_drift_4w,machines_trend_4w,site_weeks_observed,site_pace_observed,site_phases_completed,phase_planned_weeks,weeks_elapsed_vs_planned,planned_x_pace
0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,6.0,6.0,0.0,6.109999999999999,1.6433333333333333,0.7880481513327601,4.0,S001,2025-07-14,clearing,1.0,S001|clearing,0.0,False,False,,,0.0,0.0,0.0,1.0,0.0,10.0,0.0,10.0
0.7692307692307693,0.0,0.15384615384615385,0.07692307692307693,0.0,0.7142857142857143,0.0,0.14285714285714285,0.14285714285714285,0.0,7.0,1.0,1.0,6.191428571428571,1.817142857142857,0.7731002497324295,4.0,S001,2025-07-21,clearing,1.0,S001|clearing,1.0,False,False,,,0.0,0.0,1.0,1.0,0.0,10.0,0.1,10.0
0.7368421052631579,0.0,0.15789473684210525,0.10526315789473684,0.0,0.7142857142857143,0.0,0.14285714285714285,0.14285714285714285,0.0,6.0,0.0,2.0,5.995,1.7616666666666665,0.7728835410399656,4.0,S001,2025-07-28,clearing,1.0,S001|clearing,2.0,False,False,,,0.0,0.0,2.0,1.0,0.0,10.0,0.2,10.0
0.6551724137931034,0.034482758620689655,0.20689655172413793,0.10344827586206896,0.0,0.5833333333333334,0.08333333333333333,0.25,0.08333333333333333,0.0,10.0,5.0,3.0,6.122999999999999,1.8389999999999997,0.7690278824415976,5.0,S001,2025-08-04,clearing,1.0,S001|clearing,3.0,False,False,,,0.0,0.0,3.0,1.0,0.0,10.0,0.3,10.0
0.5882352941176471,0.08823529411764706,0.23529411764705882,0.08823529411764706,0.0,0.5714285714285714,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.0,11.0,2.0,4.0,6.082727272727272,1.7300000000000002,0.778566441703514,7.0,S001,2025-08-11,clearing,1.0,S001|clearing,4.0,False,False,,,0.4901960784313726,5.0,4.0,1.0,0.0,10.0,0.4,10.0
0.5526315789473685,0.13157894736842105,0.2631578947368421,0.05263157894736842,0.0,0.5714285714285714,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.0,11.0,0.0,5.0,6.082727272727272,1.7300000000000002,0.778566441703514,7.0,S001,2025-08-18,clearing,1.0,S001|clearing,5.0,False,False,,,0.48178137651821856,4.0,5.0,1.0,0.0,10.0,0.5,10.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,16.9,7.55,0.6912065439672801,1.0,S002,2025-07-07,clearing,1.0,S002|clearing,0.0,False,False,,,0.0,0.0,0.0,1.0,0.0,10.0,0.0,10.0
0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,6.0,5.0,1.0,7.111666666666667,5.133333333333333,0.5807812712671839,6.0,S002,2025-07-14,clearing,1.0,S002|clearing,1.0,False,False,,,0.0,0.0,1.0,1.0,0.0,10.0,0.1,10.0
0.4375,0.25,0.3125,0.0,0.0,0.5,0.2,0.3,0.0,0.0,9.0,4.0,2.0,6.5888888888888895,3.561111111111111,0.6491516146688561,8.0,S002,2025-07-21,clearing,1.0,S002|clearing,2.0,False,False,,,0.0,0.0,2.0,1.0,0.0,10.0,0.2,10.0
0.39285714285714285,0.32142857142857145,0.25,0.03571428571428571,0.0,0.35714285714285715,0.35714285714285715,0.21428571428571427,0.07142857142857142,0.0,12.0,4.0,3.0,6.8566666666666665,3.3208333333333333,0.6737083435683288,8.0,S002,2025-07-28,clearing,1.0,S002|clearing,3.0,False,False,,,0.0,0.0,3.0,1.0,0.0,10.0,0.3,10.0
